iter	Passed	Remaining
0	1	104
1	1	95
2	2	92
3	3	86
4	4	87
5	5	86
6	6	85
7	7	84
8	8	83
9	9	82
10	9	80
11	10	79
12	11	78
13	12	76
14	13	75
15	14	74
16	14	73
17	15	71
18	16	71
19	17	70
20	18	69
21	19	68
22	20	67
23	20	66
24	21	65
25	22	64
26	23	63
27	24	62
28	25	61
29	25	60
30	26	59
31	27	58
32	28	57
33	29	56
34	29	55
35	30	54
36	31	53
37	32	53
38	33	52
39	34	51
40	34	50
41	35	48
42	36	47
43	36	47
44	37	46
45	38	45
46	39	44
47	40	43
48	41	42
49	41	41
50	42	41
51	43	40
52	44	39
53	45	38
54	45	37
55	46	36
56	47	35
57	48	35
58	49	34
59	50	33
60	50	32
61	51	31
62	52	30
63	53	30
64	54	29
65	55	28
66	55	27
67	56	26
68	57	25
69	58	25
70	59	24
71	60	23
72	60	22
73	61	21
74	62	20
75	63	20
76	64	19
77	64	18
78	65	17
79	66	16
80	67	15
81	68	14
82	69	14
83	70	13
84	71	12
85	71	11
86	72	10
87	73	10
88	74	9
89	75	8
90	76	7
91	77	6
92	78	5
93	79	5
94	80	4
95	81	3
96	82	2
97	83	1
98	83	0
99	84	0
