iter	Passed	Remaining
0	149	149134
1	150	74928
2	151	50186
3	151	37816
4	153	30519
5	154	25566
6	155	22006
7	155	19330
8	156	17252
9	157	15590
10	158	14235
11	159	13104
12	159	12145
13	160	11324
14	161	10612
15	162	9988
16	163	9438
17	163	8946
18	164	8506
19	165	8113
20	166	7764
21	167	7448
22	168	7157
23	169	6886
24	170	6636
25	170	6403
26	171	6189
27	172	5990
28	173	5805
29	174	5632
30	174	5469
31	175	5316
32	176	5173
33	177	5039
34	178	4912
35	178	4792
36	179	4679
37	180	4579
38	181	4482
39	182	4389
40	183	4297
41	184	4210
42	185	4128
43	186	4047
44	187	3970
45	187	3896
46	188	3825
47	189	3757
48	190	3692
49	191	3631
50	191	3571
51	192	3512
52	193	3455
53	194	3400
54	194	3349
55	195	3302
56	196	3254
57	197	3206
58	198	3161
59	198	3116
60	199	3073
61	200	3031
62	201	2992
63	202	2956
64	202	2919
65	203	2883
66	204	2847
67	205	2812
68	205	2778
69	206	2745
70	207	2713
71	208	2682
72	208	2651
73	209	2621
74	210	2593
75	211	2565
76	211	2538
77	212	2511
78	213	2485
79	213	2460
80	214	2435
81	215	2411
82	215	2384
83	216	2362
84	217	2339
85	218	2318
86	218	2296
87	219	2275
88	220	2255
89	221	2235
90	221	2215
91	222	2195
92	223	2176
93	223	2158
94	224	2140
95	225	2124
96	226	2107
97	227	2090
98	227	2073
99	228	2057
100	229	2042
101	230	2027
102	230	2011
103	231	1996
104	232	1980
105	233	1966
106	233	1951
107	234	1937
108	235	1922
109	235	1908
110	236	1895
111	237	1881
112	238	1868
113	238	1855
114	239	1843
115	240	1831
116	240	1818
117	241	1806
118	242	1794
119	243	1783
120	243	1771
121	244	1759
122	245	1748
123	245	1737
124	246	1726
125	247	1715
126	247	1704
127	248	1693
128	249	1683
129	249	1673
130	250	1662
131	251	1653
132	252	1643
133	252	1633
134	253	1624
135	254	1615
136	255	1606
137	255	1597
138	256	1589
139	257	1580
140	258	1572
141	258	1562
142	259	1553
143	259	1545
144	260	1536
145	261	1528
146	262	1520
147	262	1512
148	263	1504
149	264	1497
150	264	1489
151	265	1482
152	266	1474
153	267	1466
154	267	1459
155	268	1452
156	269	1445
157	270	1439
158	270	1432
159	271	1425
160	271	1417
161	272	1410
162	273	1403
163	273	1396
164	274	1389
165	275	1383
166	275	1376
167	276	1370
168	277	1363
169	278	1357
170	278	1351
171	279	1344
172	280	1338
173	280	1332
174	281	1326
175	282	1320
176	282	1314
177	283	1308
178	284	1303
179	284	1297
180	285	1292
181	286	1286
182	287	1281
183	287	1275
184	288	1270
185	289	1264
186	289	1259
187	290	1254
188	291	1249
189	291	1244
190	292	1239
191	293	1233
192	293	1228
193	294	1223
194	295	1218
195	295	1213
196	296	1208
197	297	1203
198	297	1198
199	298	1193
200	299	1189
201	300	1185
202	300	1180
203	301	1175
204	302	1171
205	302	1166
206	303	1161
207	303	1157
208	304	1152
209	305	1147
210	305	1143
211	306	1138
212	306	1134
213	307	1129
214	308	1124
215	308	1120
216	309	1115
217	309	1111
218	310	1106
219	310	1102
220	311	1098
221	312	1093
222	312	1089
223	313	1085
224	313	1081
225	314	1077
226	315	1073
227	315	1069
228	316	1064
229	316	1060
230	317	1056
231	318	1052
232	318	1048
233	319	1044
234	319	1040
235	320	1036
236	320	1033
237	321	1029
238	321	1025
239	322	1021
240	323	1017
241	323	1013
242	324	1010
243	324	1006
244	325	1002
245	326	999
246	326	995
247	327	991
248	327	988
249	328	984
250	328	981
251	329	978
252	330	974
253	330	971
254	331	968
255	331	964
256	332	961
257	333	958
258	333	954
259	334	951
260	334	948
261	335	944
262	336	941
263	336	938
264	337	935
265	337	932
266	338	928
267	338	925
268	339	922
269	340	919
270	340	916
271	341	913
272	341	910
273	342	907
274	342	904
275	343	901
276	344	898
277	344	895
278	345	892
279	345	889
280	346	886
281	347	883
282	347	880
283	348	877
284	348	875
285	349	872
286	349	869
287	350	866
288	351	863
289	351	861
290	352	858
291	352	855
292	353	852
293	354	850
294	354	847
295	355	844
296	355	842
297	356	839
298	356	836
299	357	834
300	358	831
301	358	829
302	359	826
303	360	824
304	360	821
305	361	819
306	361	816
307	362	814
308	363	811
309	363	809
310	364	806
311	364	804
312	365	801
313	365	799
314	366	797
315	367	794
316	367	792
317	368	789
318	368	787
319	369	785
320	370	782
321	370	780
322	371	777
323	371	775
324	372	773
325	373	771
326	374	769
327	374	768
328	375	766
329	376	764
330	377	762
331	378	760
332	378	758
333	379	757
334	380	755
335	381	752
336	381	750
337	382	748
338	382	746
339	383	744
340	384	742
341	384	740
342	385	738
343	385	735
344	386	733
345	387	732
346	387	730
347	388	728
348	389	726
349	389	724
350	390	722
351	391	720
352	391	718
353	392	716
354	392	713
355	393	711
356	394	709
357	394	707
358	395	705
359	396	704
360	396	702
361	397	700
362	397	698
363	398	696
364	398	694
365	399	692
366	400	690
367	400	688
368	401	686
369	402	684
370	402	682
371	403	680
372	403	679
373	404	677
374	405	675
375	405	673
376	406	671
377	406	669
378	407	667
379	408	666
380	408	664
381	409	662
382	410	660
383	410	658
384	411	656
385	411	655
386	412	653
387	413	651
388	413	649
389	414	647
390	414	646
391	415	644
392	415	642
393	416	640
394	417	639
395	417	637
396	418	635
397	419	633
398	419	632
399	420	630
400	420	628
401	421	627
402	422	625
403	422	623
404	423	622
405	424	620
406	424	618
407	425	616
408	425	615
409	426	613
410	426	611
411	427	610
412	428	608
413	428	606
414	429	605
415	429	603
416	430	601
417	431	600
418	431	598
419	432	597
420	432	595
421	433	593
422	434	592
423	434	590
424	435	589
425	436	587
426	436	585
427	437	584
428	437	582
429	438	581
430	439	579
431	439	578
432	440	576
433	440	574
434	441	573
435	442	571
436	442	570
437	443	569
438	444	567
439	444	565
440	445	564
441	445	563
442	446	561
443	447	560
444	447	558
445	448	557
446	449	555
447	449	554
448	450	552
449	451	551
450	451	549
451	452	548
452	453	547
453	453	545
454	454	544
455	455	542
456	455	541
457	456	540
458	457	538
459	457	537
460	458	536
461	459	534
462	459	533
463	460	531
464	460	530
465	461	528
466	461	527
467	462	525
468	463	524
469	463	523
470	464	521
471	465	520
472	465	518
473	466	517
474	466	516
475	467	514
476	468	513
477	468	511
478	469	510
479	469	509
480	470	507
481	471	506
482	471	505
483	472	503
484	472	502
485	473	500
486	474	499
487	474	498
488	475	496
489	475	495
490	476	493
491	477	492
492	477	491
493	478	489
494	478	488
495	479	487
496	479	485
497	480	484
498	481	482
499	481	481
500	482	480
501	482	478
502	483	477
503	484	476
504	484	475
505	485	473
506	485	472
507	486	471
508	487	469
509	487	468
510	488	467
511	488	465
512	489	464
513	489	463
514	490	461
515	491	460
516	491	459
517	492	458
518	492	456
519	493	455
520	494	454
521	494	453
522	495	451
523	495	450
524	496	449
525	497	447
526	497	446
527	498	445
528	498	444
529	499	442
530	499	441
531	500	440
532	501	439
533	501	437
534	502	436
535	502	435
536	503	434
537	503	432
538	504	431
539	505	430
540	505	428
541	506	427
542	506	426
543	507	425
544	508	424
545	508	422
546	509	421
547	509	420
548	510	419
549	511	418
550	511	416
551	512	415
552	512	414
553	513	413
554	513	412
555	514	410
556	515	409
557	515	408
558	516	407
559	516	405
560	517	404
561	517	403
562	518	402
563	518	401
564	519	400
565	520	398
566	520	397
567	521	396
568	521	395
569	522	394
570	523	393
571	523	391
572	524	390
573	524	389
574	525	388
575	526	387
576	526	386
577	527	384
578	527	383
579	528	382
580	528	381
581	529	380
582	530	379
583	530	378
584	531	376
585	531	375
586	532	374
587	533	373
588	533	372
589	534	371
590	534	370
591	535	368
592	535	367
593	536	366
594	537	365
595	537	364
596	538	363
597	538	362
598	539	361
599	540	360
600	540	358
601	541	357
602	541	356
603	542	355
604	543	354
605	543	353
606	544	352
607	544	351
608	545	350
609	545	348
610	546	347
611	546	346
612	547	345
613	548	344
614	548	343
615	549	342
616	549	341
617	550	340
618	551	339
619	551	338
620	552	337
621	552	335
622	553	334
623	554	333
624	554	332
625	555	331
626	555	330
627	556	329
628	556	328
629	557	327
630	558	326
631	558	325
632	559	324
633	559	323
634	560	322
635	560	321
636	561	319
637	562	318
638	562	317
639	563	316
640	563	315
641	564	314
642	564	313
643	565	312
644	566	311
645	566	310
646	567	309
647	567	308
648	568	307
649	569	306
650	569	305
651	570	304
652	570	303
653	571	302
654	572	301
655	572	300
656	573	299
657	573	298
658	574	297
659	575	296
660	575	295
661	576	294
662	577	293
663	577	292
664	578	291
665	578	290
666	579	289
667	579	288
668	580	287
669	581	286
670	581	285
671	582	284
672	582	283
673	583	282
674	584	281
675	584	280
676	585	279
677	585	278
678	586	277
679	587	276
680	587	275
681	588	274
682	588	273
683	589	272
684	590	271
685	590	270
686	591	269
687	591	268
688	592	267
689	592	266
690	593	265
691	594	264
692	594	263
693	595	262
694	595	261
695	596	260
696	597	259
697	597	258
698	598	257
699	598	256
700	599	255
701	600	254
702	600	253
703	601	252
704	601	251
705	602	250
706	603	249
707	603	248
708	604	247
709	604	247
710	605	246
711	605	245
712	606	244
713	607	243
714	607	242
715	608	241
716	608	240
717	609	239
718	609	238
719	610	237
720	611	236
721	611	235
722	612	234
723	612	233
724	613	232
725	614	231
726	614	230
727	615	229
728	615	228
729	616	227
730	616	227
731	617	226
732	618	225
733	618	224
734	619	223
735	619	222
736	620	221
737	620	220
738	621	219
739	622	218
740	622	217
741	623	216
742	623	215
743	624	214
744	624	213
745	625	212
746	626	212
747	626	211
748	627	210
749	627	209
750	628	208
751	629	207
752	629	206
753	630	205
754	630	204
755	631	203
756	631	202
757	632	201
758	633	201
759	633	200
760	634	199
761	634	198
762	635	197
763	635	196
764	636	195
765	637	194
766	637	193
767	638	192
768	638	191
769	639	190
770	639	190
771	640	189
772	641	188
773	641	187
774	642	186
775	643	185
776	643	184
777	644	183
778	644	182
779	645	182
780	645	181
781	646	180
782	647	179
783	647	178
784	648	177
785	648	176
786	649	175
787	649	174
788	650	173
789	651	173
790	651	172
791	652	171
792	652	170
793	653	169
794	653	168
795	654	167
796	655	166
797	655	165
798	656	165
799	656	164
800	657	163
801	658	162
802	658	161
803	659	160
804	659	159
805	660	158
806	661	158
807	661	157
808	662	156
809	662	155
810	663	154
811	663	153
812	664	152
813	665	151
814	665	151
815	666	150
816	666	149
817	667	148
818	667	147
819	668	146
820	668	145
821	669	144
822	670	144
823	670	143
824	671	142
825	672	141
826	672	140
827	673	139
828	674	139
829	674	138
830	675	137
831	675	136
832	676	135
833	677	134
834	677	133
835	678	133
836	678	132
837	679	131
838	680	130
839	680	129
840	681	128
841	681	127
842	682	127
843	682	126
844	683	125
845	684	124
846	684	123
847	685	122
848	685	121
849	686	121
850	687	120
851	687	119
852	688	118
853	688	117
854	689	116
855	690	116
856	690	115
857	691	114
858	691	113
859	692	112
860	693	111
861	693	111
862	694	110
863	694	109
864	695	108
865	695	107
866	696	106
867	697	106
868	697	105
869	698	104
870	698	103
871	699	102
872	700	101
873	700	101
874	701	100
875	701	99
876	702	98
877	703	97
878	703	96
879	704	96
880	704	95
881	705	94
882	706	93
883	706	92
884	707	91
885	707	91
886	708	90
887	708	89
888	709	88
889	710	87
890	710	86
891	711	86
892	711	85
893	712	84
894	712	83
895	713	82
896	714	81
897	714	81
898	715	80
899	715	79
900	716	78
901	717	77
902	717	77
903	718	76
904	718	75
905	719	74
906	720	73
907	720	73
908	721	72
909	721	71
910	722	70
911	722	69
912	723	68
913	724	68
914	724	67
915	725	66
916	725	65
917	726	64
918	726	64
919	727	63
920	728	62
921	728	61
922	729	60
923	729	60
924	730	59
925	731	58
926	731	57
927	732	56
928	733	56
929	733	55
930	734	54
931	734	53
932	735	52
933	735	52
934	736	51
935	737	50
936	737	49
937	738	48
938	738	47
939	739	47
940	739	46
941	740	45
942	741	44
943	741	43
944	742	43
945	742	42
946	743	41
947	744	40
948	744	40
949	745	39
950	745	38
951	746	37
952	747	36
953	747	36
954	748	35
955	748	34
956	749	33
957	749	32
958	750	32
959	751	31
960	751	30
961	752	29
962	752	28
963	753	28
964	754	27
965	754	26
966	755	25
967	755	24
968	756	24
969	756	23
970	757	22
971	758	21
972	758	21
973	759	20
974	759	19
975	760	18
976	761	17
977	761	17
978	762	16
979	762	15
980	763	14
981	764	14
982	764	13
983	765	12
984	765	11
985	766	10
986	767	10
987	767	9
988	768	8
989	768	7
990	769	6
991	770	6
992	770	5
993	771	4
994	771	3
995	772	3
996	772	2
997	773	1
998	774	0
999	774	0
